"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","CILabel","JS","Dedicated","Native","FlushEarly","Common","Reference","Methods","Enabled","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"53700","56416","2976.4858474382168","50518","56416","46310.55790739247","61089.44209260753","commonmain-plain-jar","1871.4433","3","False","20","System.Boolean[]","System.Boolean[]","ci-linux-small","True","False","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-04-16 14:42:33","2d696d91edb8ed82a047ec3d9d33276ecbd7217e","BSC_IOA","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6029.2143","3","False","20","System.Boolean[]","System.Boolean[]","ci-linux-small","True","False","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-04-16 14:42:33","2d696d91edb8ed82a047ec3d9d33276ecbd7217e","BSC_IOA","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"9202","10219","898.4558976377193","8516","10219","6971.487856268581","11432.51214373142","commonmain-plain-linux-exe","17154.2709","3","False","20","System.Boolean[]","System.Boolean[]","ci-linux-small","True","False","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-04-16 14:42:33","2d696d91edb8ed82a047ec3d9d33276ecbd7217e","BSC_IOA","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"102189.33333333333","114385","10967.483500481472","93136","114385","74961.39126258958","129417.27540407708","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2333.3105","3","False","20","System.Boolean[]","System.Boolean[]","ci-linux-small","True","False","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-04-16 14:42:33","2d696d91edb8ed82a047ec3d9d33276ecbd7217e","BSC_IOA","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4363.077","3","False","20","System.Boolean[]","System.Boolean[]","ci-linux-small","True","False","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-04-16 14:42:33","2d696d91edb8ed82a047ec3d9d33276ecbd7217e","BSC_IOA","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46161.666666666664","47510","1397.8892421552337","44719","47510","42691.25822656756","49632.07510676577","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20214.0266","3","False","20","System.Boolean[]","System.Boolean[]","ci-linux-small","True","False","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-04-16 14:42:33","2d696d91edb8ed82a047ec3d9d33276ecbd7217e","BSC_IOA","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
