"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Reference","JVM","Dedicated","TestKIR","Enabled","FlushEarly","Native","InstrumentPropertyAccessors","Methods","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3898.1658","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142412.1","142241","2561.147496728761","137128","148796","141702.1861330781","143122.01386692192","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17081.5347","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144047.48","142580.5","5954.710943275012","134684","168409","142396.91833670577","145698.04166329425","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2708.4791","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3898.1658","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143604.78","143248","3939.465012316432","137290","161086","142512.81600961322","144696.74399038678","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17081.5347","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145844.84","145795","4940.222019963334","133044","158168","144475.48031957378","147214.19968042622","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1898.925","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3222.9371","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143446.68","142767.5","3382.368463979413","137597","154686","142509.13529447827","144384.22470552172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14447.5562","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144092.42","143868","4388.651543586072","133981","154341","142875.94785544008","145308.89214455994","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1898.925","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3222.9371","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143166.94","142018","4169.651595145326","137853","159131","142011.17154409987","144322.70845590014","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14447.5562","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145634.32","145599","5581.117587738433","137384","164054","144087.31313158738","147181.32686841264","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1549.934","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3063.3137","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143295.24","142399","3595.3856343363004","137240","152906","142298.6499472962","144291.8300527038","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14012.9901","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143916.38","144594.5","5117.770173281584","131848","155817","142497.80648231998","145334.95351768003","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1549.934","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3063.3137","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142733.14","142328","3072.1662171364173","137298","150260","141881.57897049282","143584.7010295072","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14012.9901","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","2026-06-25 03:51:53","8e9a3eb2300936044e9d23a980ae00b67e503fbe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","85","0.07","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
