"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","CILabel","FlushEarly","JS","Reference","Native","InstrumentPropertyAccessors","Methods","TestKIR","JVM","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3286.1118","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"163975.5","163870.5","2489.7496493275244","160188","172490","163285.37660668543","164665.62339331457","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17049.1293","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195910.18","194557","5421.7217752071265","189918","222775","194407.35539668135","197413.00460331864","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2927.5198","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3286.1118","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"166622.14","164809","6501.835081650378","160102","190681","164819.9232628545","168424.3567371455","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","17049.1293","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203786.42","200503","10980.945578573452","190162","234972","200742.65717567972","206830.1828243203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3720.1296","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5523.8844","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"170755.16","166504","12287.026933796344","160584","219827","167349.3698943204","174160.9501056796","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17278.286","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199438.3","196291.5","9506.42045393211","189734","232519","196803.25468782792","202073.34531217205","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3720.1296","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5523.8844","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"165513.28","164501.5","5441.60479045568","159254","193561","164004.94410603557","167021.61589396442","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17278.286","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194381.5","193659","5412.612769245175","189168","224171","192881.2002843165","195881.7997156835","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3300.0583","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3417.1032","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"170585.46","167481","8673.47813201432","162723","208565","168181.29452018073","172989.62547981925","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","14589.2284","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205976.06","202957.5","10777.601185925241","194430","258725","202988.66136567117","208963.45863432882","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3300.0583","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3417.1032","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"172658.6","169603.5","7234.420262233335","163383","190631","170653.32101085162","174663.8789891484","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","14589.2284","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
