"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","FlushEarly","InstrumentPropertyAccessors","Dedicated","Common","Native","Methods","TestKIR","CILabel","JS","Reference","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3745.3947","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138800.94","138772","3422.304739648473","132625","152542","137852.3255236326","139749.5544763674","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15217.3668","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154838.22","155309","4813.7314063679405","143991","165348","153503.92172886065","156172.51827113936","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2136.5019","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3745.3947","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137224.56","137669","3283.314509728838","129090","144073","136314.4716497978","138134.6483502022","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15217.3668","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154311.2","153169.5","5771.457736842857","145087","166053","152711.43353400318","155910.96646599684","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1848.1295","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3144.4151","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137380.44","137187","3547.006597463413","130271","151586","136397.2599321519","138363.6200678481","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14163.3994","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153891.64","153799.5","5957.765571290043","143291","170334","152240.23163701786","155543.04836298217","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1848.1295","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3144.4151","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137397.62","137283.5","2866.001081575482","132642","148019","136603.20503052935","138192.03496947064","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14163.3994","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154745.08","154029.5","4636.950417800783","141299","168133","153459.78291889452","156030.37708110546","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1458.3505","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3011.9428","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137260.08","136812.5","2996.5267706708273","132067","146506","136429.485155377","138090.67484462296","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13942.307","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153459.4","152724","5673.748762538588","143676","166561","151886.71707990198","155032.082920098","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1458.3505","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3011.9428","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138160.24","138197.5","5512.905288206455","129789","164314","136632.14061637464","139688.33938362534","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13942.307","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
