"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Dedicated","TestKIR","CILabel","Enabled","Common","Reference","Native","FlushEarly","Methods","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6362.177","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235395.06","231535.5","12682.327413727322","221502","270849","231879.69819153394","238910.42180846605","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","30450.068","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214139.28","199029","28927.30390312367","189046","299349","206121.0404414736","222157.5195585264","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6918.282","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6362.177","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234369.5","228359","16476.303825958847","221341","318607","229802.50158362367","238936.49841637633","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","30450.068","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212912.48","201749.5","25725.62196565906","190814","290676","205781.70139707363","220043.2586029264","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4499.9341","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7599.2907","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224069.3","222967","5136.482280149102","217547","237068","222645.53975091872","225493.06024908126","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26198.9954","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190823.22","189167","7944.921066098179","181297","219722","188621.00023576268","193025.43976423732","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4499.9341","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7599.2907","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241081.36","240379","17856.107166262787","217351","292993","236131.8996105596","246030.82038944037","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26198.9954","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224035.02","222659.5","9944.509463466742","208903","249056","221278.54260974107","226791.4973902589","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4282.0934","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5256.8498","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239544.3","230757.5","20702.12176176093","220274","328020","233805.96461238523","245282.63538761475","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30159.4354","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200261.38","196126.5","12947.317526745352","186943","253651","196672.56667963587","203850.19332036414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4282.0934","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5256.8498","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"257842.18","257045","16040.204548151207","231233","318544","253396.0621362141","262288.2978637859","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30159.4354","50","False","500","System.Boolean[]","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","True","2026-09-22 02:37:17","f46254f743fb814e2a4ef53613b88a7664d53b09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.08","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
