"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Methods","JS","Native","Reference","FlushEarly","CILabel","Enabled","JVM","TestKIR","Common","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4251.8047","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146833.96","144095.5","11170.862097365958","140585","218642","143737.55500242708","149930.3649975729","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15260.7725","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143529.42","142723","5357.106925936645","133625","162469","142044.50571913048","145014.33428086955","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2498.0002","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4251.8047","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146214.9","145511","6068.977031945805","140390","181101","144532.66539285152","147897.13460714847","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15260.7725","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143180.18","141763","5094.648759958524","134861","156081","141768.0154111153","144592.34458888468","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1667.3036","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2959.7234","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145205.78","145013","3403.9671051073715","140436","158070","144262.2484566007","146149.3115433993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14732.1638","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142792.8","142009.5","5165.2368655804175","133591","162532","141361.06938647802","144224.53061352196","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1667.3036","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2959.7234","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144864.08","144237.5","3375.8835326655517","139833","159849","143928.33282573","145799.82717426997","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14732.1638","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142465.82","143155.5","3346.7084389145757","135760","150616","141538.1597491302","143393.48025086982","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1541.4436","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3046.4186","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144219.84","143953.5","2387.570666632355","139581","149509","143558.03917569638","144881.6408243036","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14579.2142","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143479.52","142338","9504.916161349647","133865","200604","140844.8916564584","146114.14834354157","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1541.4436","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3046.4186","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145660.16","144705","4386.304512912891","139474","161894","144444.3384191515","146875.98158084851","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14579.2142","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
