"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Reference","Methods","JS","Common","InstrumentPropertyAccessors","FlushEarly","Enabled","Native","CILabel","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3194.375","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136839.36","136513.5","2072.833718091527","133536","142121","136264.7998068928","137413.92019310716","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18610.2147","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153512.14","153569.5","4404.021714945816","144564","162782","152291.40746130067","154732.87253869936","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1751.2431","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3194.375","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137923.92","137142.5","3614.6450800450493","132970","148302","136921.99150130848","138925.84849869154","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18610.2147","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152227.62","152466","4253.005841682769","142766","159754","151048.7469257367","153406.4930742633","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2806.9902","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3988.2642","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138047.08","137736","2925.662414718752","133206","143363","137236.12775269916","138858.0322473008","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17772.8883","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153137.58","151850","5338.586742934569","142964","164724","151657.79925195038","154617.3607480496","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2806.9902","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3988.2642","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137636.44","136801","3267.121089064843","132474","150181","136730.84023700215","138542.03976299785","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17772.8883","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153571.1","152845.5","4974.180721177989","146216","168554","152192.3274478334","154949.8725521666","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2439.7396","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3715.9118","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138788.66","137871","4510.614735288758","133293","163435","137538.38138347608","140038.93861652393","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18265.392","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152674.28","151412","4977.812317777802","144076","167234","151294.50082061315","154054.05917938685","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2439.7396","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3715.9118","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137915.96","137832","2835.9399187671697","132383","144265","137129.8775597416","138702.04244025837","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18265.392","50","False","500","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","2026-09-25 04:00:56","656724e987a9944a72715439c7cfb9cc6c6354c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","82","0.04","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
