"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Methods","CILabel","Enabled","InstrumentPropertyAccessors","TestKIR","FlushEarly","JS","JVM","Native","Dedicated","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3911.6352","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135880.4","135457","3531.5202253478337","129469","145758","134901.51253549758","136859.2874645024","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18739.9184","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152440.9","152561","4184.497766903993","143109","161761","151281.0163952396","153600.7836047604","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2297.0229","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3911.6352","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134554.56","134492.5","3466.7734758794413","128817","146114","133593.61941881626","135515.50058118373","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18739.9184","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152413.7","151798","4341.5562490039565","144592","161873","151210.28200508718","153617.11799491284","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2210.41","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3454.2759","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135019.14","134621.5","3400.4733224559627","129164","146994","134076.5768837434","135961.70311625663","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20168.6456","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152602.9","152389","4341.4471171982","144305","161373","151399.51225488042","153806.28774511957","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2210.41","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3454.2759","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135775.7","135768.5","3546.8391806606332","128876","146292","134792.5663377221","136758.83366227793","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20168.6456","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153410.74","152387","5388.487443710009","146382","166983","151917.1274833799","154904.35251662007","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2678.199","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4567.794","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135150.42","134293","4096.2624980160945","129959","153351","134014.99396397203","136285.846036028","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15683.3432","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150680.38","150349.5","4413.15212855799","143440","161847","149457.11663976763","151903.64336023238","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2678.199","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4567.794","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136469.28","135831.5","4305.498899911933","131142","158278","135275.85659234057","137662.70340765943","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15683.3432","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
