"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Enabled","Native","Reference","JVM","FlushEarly","Dedicated","TestKIR","JS","Common","CILabel","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5391.3419","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224459.8","221983","6357.8472354553915","219473","254200","222697.49465757603","226222.10534242395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24910.442","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190102.32","189075","4899.809036012298","184489","209774","188744.1622272137","191460.4777727863","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4020.0906","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5391.3419","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223001.26","221598","5102.032915397147","217036","240592","221587.0486276528","224415.4713723472","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24910.442","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195007.6","189467","13525.217798238811","184450","233217","191258.6008969134","198756.5991030866","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5033.7611","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8323.3819","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228630.78","224890","9386.718772710685","219933","267865","226028.9143010683","231232.6456989317","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","32281.7424","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195531.86","194987","4237.0384150985","187351","203803","194357.4128705781","196706.30712942188","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5033.7611","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","8323.3819","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227474.32","225718","5778.054963464464","219379","242303","225872.72487608014","229075.91512391987","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","32281.7424","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197015.8","195346","6261.798463700346","187985","215271","195280.11801880642","198751.48198119356","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4063.245","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4434.1813","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229119.2","226122.5","9190.28892308593","219840","275214","226571.78187751755","231666.61812248247","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28494.4748","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202039.68","196924.5","13729.451560073625","187398","240666","198234.07018636068","205845.2898136393","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4063.245","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4434.1813","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231486.9","228368.5","10315.73677020914","221830","271002","228627.52365012508","234346.2763498749","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28494.4748","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
