"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","CILabel","Common","JS","Native","Dedicated","InstrumentPropertyAccessors","FlushEarly","TestKIR","Reference","JVM","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"74318.66666666667","76257","2189.998706240105","71943","76257","68881.76239360425","79755.57093972909","commonmain-plain-jar","2788.5371","3","False","20","System.String[]","ci-windows-small","True","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-08-09 01:30:18","5f48f2cb643705572ed2aa0cc4f073ac8c36f8c4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","146","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8421.4746","3","False","20","System.String[]","ci-windows-small","True","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-08-09 01:30:18","5f48f2cb643705572ed2aa0cc4f073ac8c36f8c4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","146","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12706.666666666666","13632","816.5967997324833","12087","13632","10679.37842344344","14733.954909889891","commonmain-plain-win-exe","106606.3369","3","False","20","System.String[]","ci-windows-small","True","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-08-09 01:30:18","5f48f2cb643705572ed2aa0cc4f073ac8c36f8c4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","146","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"126936.66666666667","144069","14880.575940914832","117233","144069","89994.05720837612","163879.27612495722","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3967.9773","3","False","20","System.String[]","ci-windows-small","True","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-08-09 01:30:18","5f48f2cb643705572ed2aa0cc4f073ac8c36f8c4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","146","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5621.0249","3","False","20","System.String[]","ci-windows-small","True","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-08-09 01:30:18","5f48f2cb643705572ed2aa0cc4f073ac8c36f8c4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","146","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"84644.33333333333","92185","8519.919268005615","75402","92185","63492.72929704857","105795.93736961808","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","47380.9109","3","False","20","System.String[]","ci-windows-small","True","True","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","2026-08-09 01:30:18","5f48f2cb643705572ed2aa0cc4f073ac8c36f8c4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","146","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
