"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","TestKIR","JS","CILabel","Common","Methods","JVM","FlushEarly","Native","Dedicated","Enabled","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4204.0958","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215267.06","214244.5","5571.796106595196","203346","233011","213722.63691433799","216811.483085662","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19708.7774","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242770.44","242670","8883.52783655554","227954","264608","240308.05171255756","245232.82828744245","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2484.6465","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4204.0958","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222406.38","222317","3828.041583219433","215578","233787","221345.30100843386","223467.45899156615","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19708.7774","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243473.72","244425","7886.955215611486","223337","256788","241287.5675497776","245659.8724502224","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3914.5442","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3816.0141","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225816.04","221795.5","12674.829131336304","209751","257352","222302.75660937373","229329.3233906263","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17878.6568","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250577.7","250470.5","5437.225107290201","240949","264073","249070.57809227257","252084.82190772746","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3914.5442","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3816.0141","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213864.66","212483.5","6751.121541322915","205536","247359","211993.34458158628","215735.97541841373","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17878.6568","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246876.36","245804.5","6731.782772514763","236157","273935","245010.40501481536","248742.3149851846","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2836.4658","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3171.8837","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214139.08","213466.5","5730.295546888824","206959","237333","212550.72311095198","215727.436889048","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20955.2497","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251045.38","248628.5","11201.229607958408","233964","282295","247940.55755794136","254150.20244205865","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2836.4658","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3171.8837","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217967.8","219534","8452.612449680262","203068","236237","215624.85536389097","220310.744636109","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20955.2497","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
