"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","CILabel","JS","Common","Native","FlushEarly","InstrumentPropertyAccessors","Reference","Methods","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3564.6463","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138268.34","138094.5","2454.7259093846064","134285","145080","137587.92469209977","138948.75530790022","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18703.0873","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153764.68","153384","4583.584612016037","144957","163868","152494.17516557084","155035.18483442915","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2687.6368","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3564.6463","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138276.26","137907.5","3342.541833786414","133267","145820","137349.75467314853","139202.76532685148","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18703.0873","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155005.92","154631","4435.5618047865855","147441","168863","153776.44499442965","156235.39500557038","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2470.7726","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3611.3356","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137765.2","137718.5","3311.44498331937","132281","147247","136847.31428033335","138683.08571966668","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","21040.1864","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154023.82","153136.5","4595.160118859752","146727","166670","152750.106598772","155297.53340122802","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2470.7726","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3611.3356","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139850.28","139303","4465.269999103969","133083","157512","138612.57030309146","141087.98969690854","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","21040.1864","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156170.54","155590","5328.722622175189","146962","165977","154693.49344672874","157647.58655327128","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2329.6848","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4152.322","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139960.88","135996","23585.224320981564","131391","301821","133423.3893551566","146498.3706448434","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16996.2127","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155755.8","155211.5","5535.795037199042","145829","168353","154221.35590165557","157290.2440983444","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2329.6848","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4152.322","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137651.74","136857","3443.224010151189","132545","148650","136697.32699768487","138606.1530023151","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","16996.2127","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
