"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Methods","InstrumentPropertyAccessors","TestKIR","JVM","Reference","CILabel","Dedicated","JS","Native","Common","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6397.6178","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228319.38","221906.5","15321.882261534533","218133","296065","224072.3709157122","232566.3890842878","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23575.8388","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190976.28","190646.5","2499.894855258304","185999","198829","190283.34449907264","191669.21550092736","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3654.5063","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6397.6178","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222116.94","220091.5","6122.219943545223","216148","252262","220419.94721070543","223813.93278929457","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23575.8388","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190777.46","189473","4221.599963694971","182622","202231","189607.29219098005","191947.62780901993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2177.4969","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3552.9635","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226676.28","222192","10705.497540678312","218739","271720","223708.8674764601","229643.6925235399","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18102.3484","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193576.82","192103.5","6250.73235444766","187277","212626","191844.20538779686","195309.43461220316","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2177.4969","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3552.9635","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224911.38","221253","9294.18031623081","218413","265417","222335.1646525465","227487.59534745352","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18102.3484","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210330.54","199901.5","19683.28497887464","190759","284717","204874.6117604409","215786.46823955912","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2215.7308","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3207.6687","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230533.46","227238.5","11979.161909306835","221216","280906","227213.00572535102","233853.91427464897","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17582.8745","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203847.86","197438","14959.396765653511","186244","241951","199701.32676898214","207994.39323101784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2215.7308","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3207.6687","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241699.98","229036.5","22275.631505274447","221767","286874","235525.48996370385","247874.47003629617","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17582.8745","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","False","True","True","True","System.Boolean[]","2026-05-24 02:34:38","532e59d1cac679f7a7f1c81fb4df03d9d4980423","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.49","High performance","0.07","144","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
