"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","InstrumentPropertyAccessors","Dedicated","Enabled","Reference","Native","Methods","JS","TestKIR","Common","FlushEarly","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"50959","55235","5379.473580193512","44919","55235","37603.88576562022","64314.11423437978","commonmain-plain-jar","2175.0656","3","False","20","ci-windows-small","System.Boolean[]","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","2026-04-21 02:31:11","27cffa9de81498ffc0e2fe46ba47f6b9acb6f322","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.87","High performance","0.41","134","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7086.6186","3","False","20","ci-windows-small","System.Boolean[]","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","2026-04-21 02:31:11","27cffa9de81498ffc0e2fe46ba47f6b9acb6f322","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.87","High performance","0.41","134","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"10202.666666666666","10365","144.5210480633646","10088","10365","9843.87782285398","10561.455510479353","commonmain-plain-win-exe","93925.182","3","False","20","ci-windows-small","System.Boolean[]","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","2026-04-21 02:31:11","27cffa9de81498ffc0e2fe46ba47f6b9acb6f322","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.87","High performance","0.41","134","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"84964","89136","5362.054830006869","78916","89136","71652.1296620898","98275.8703379102","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2645.8413","3","False","20","ci-windows-small","System.Boolean[]","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","2026-04-21 02:31:11","27cffa9de81498ffc0e2fe46ba47f6b9acb6f322","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.87","High performance","0.41","134","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4882.7268","3","False","20","ci-windows-small","System.Boolean[]","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","2026-04-21 02:31:11","27cffa9de81498ffc0e2fe46ba47f6b9acb6f322","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.87","High performance","0.41","134","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"59824.333333333336","62697","2595.5269856684854","57648","62697","53380.662056715395","66268.00460995128","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","47373.4363","3","False","20","ci-windows-small","System.Boolean[]","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","True","2026-04-21 02:31:11","27cffa9de81498ffc0e2fe46ba47f6b9acb6f322","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.87","High performance","0.41","134","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
