"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","Common","Reference","InstrumentPropertyAccessors","Enabled","TestKIR","JVM","Dedicated","Methods","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3918.4552","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138893.82","136621.5","11532.112372989837","130864","212874","135697.28153474422","142090.3584652558","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15536.6377","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152150.84","152514.5","4788.3847532655645","142526","163893","150823.56746265397","153478.11253734602","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2447.5667","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3918.4552","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136812.38","136721","2840.9280453358037","130065","142610","136024.91492159778","137599.84507840223","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15536.6377","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153883.62","153732","6076.809406830098","143200","179918","152199.21436929726","155568.02563070273","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1747.6891","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3027.1472","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136584.68","136524","2990.056906427279","130392","143981","135755.87851024998","137413.48148975","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14391.7902","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152287.96","151720","5375.178227552941","142120","174208","150798.03660988272","153777.88339011726","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1747.6891","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3027.1472","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137705.18","137102","3813.130042634373","131040","153060","136648.23427660836","138762.12572339163","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14391.7902","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153023.56","153065.5","4756.882580438751","144469","163671","151705.01941946492","154342.10058053507","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1528.3185","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2914.7237","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137716.32","137461","2772.699549801491","132160","145001","136947.76689568785","138484.87310431217","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13984.721","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155079.6","154964","5913.843144241642","142402","165648","153440.3663126546","156718.8336873454","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1528.3185","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2914.7237","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137875.34","137821","8066.42288170727","130284","189080","135639.44165072718","140111.2383492728","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13984.721","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
