"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","FlushEarly","InstrumentPropertyAccessors","Reference","Enabled","Common","Native","JS","JVM","CILabel","Dedicated","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4263.6785","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136125.34","136290","2393.7925217409415","130745","141575","135461.81456544835","136788.86543455164","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19991.8171","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158998.14","159819.5","4589.737740984818","148302","168367","157725.9296052369","160270.35039476314","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2328.7111","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4263.6785","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137255.1","137294","2702.7006014015546","132869","143522","136505.94961427496","138004.25038572506","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19991.8171","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158199.1","158732","4495.4609500096","148903","170705","156953.02179845405","159445.17820154596","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2137.5925","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4311.344","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137036.12","137497.5","2464.3749767684403","131613","142021","136353.0301070759","137719.2098929241","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19275.4038","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157846.24","158462.5","4554.6134384684665","147101","166218","156583.76556517443","159108.71443482555","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2137.5925","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4311.344","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136912.58","136181.5","2968.524797447585","132752","151601","136089.74690635692","137735.41309364306","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19275.4038","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158825.04","158335","5190.617866410706","150221","175040","157386.2741319803","160263.80586801973","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2230.2145","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4213.0025","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136932.9","136544.5","2507.204128270438","133374","144392","136237.93847195976","137627.86152804023","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20545.9706","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158979.52","159778","5457.789207197735","148844","175747","157466.69801459106","160492.34198540892","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2230.2145","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4213.0025","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137576.78","136431.5","5147.566674157603","132834","167253","136149.94731365255","139003.61268634745","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20545.9706","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","True","True","ci-linux-large","False","System.Boolean[]","2026-05-23 03:32:48","5972153619939cbe6a975a474e8123d632a847aa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
