"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","FlushEarly","Enabled","JS","Dedicated","JVM","CILabel","InstrumentPropertyAccessors","Common","Reference","TestKIR","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3831.1308","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137645.8","137218.5","3493.500974842355","131888","147877","136677.450934078","138614.14906592199","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17751.396","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154060.24","153993","4511.044137063017","143916","163199","152809.84235937675","155310.63764062323","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2479.6894","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3831.1308","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137688.86","137619","2524.9425858091613","133272","143732","136988.9816223833","138388.73837761668","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17751.396","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154046.5","154409.5","3564.362582910019","144822","159545","153058.50909843057","155034.49090156943","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2678.8344","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3671.4001","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136686.38","136483.5","2631.502200691631","131644","142646","135956.96480408","137415.79519592","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15379.0047","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152368.68","151985.5","4466.674398389085","144183","167791","151130.58102347032","153606.77897652966","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2678.8344","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3671.4001","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137693.24","136998","3368.55892133871","132154","152330","136759.5231044068","138626.95689559318","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15379.0047","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153819","153669","4325.011407322458","144485","165759","152620.16800122787","155017.83199877213","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1609.2733","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2917.2952","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136638.2","136491","2965.9936353434678","131731","147040","135816.06850869706","137460.33149130296","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14247.0185","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154305.96","153269.5","5136.309053420063","146057","168419","152882.24776691827","155729.6722330817","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1609.2733","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2917.2952","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136131.88","136241","2403.846132805526","131634","141312","135465.56784663716","136798.19215336285","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14247.0185","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
