"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","Methods","JVM","JS","Dedicated","TestKIR","Native","Reference","Enabled","InstrumentPropertyAccessors","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"121516.33333333333","150302","39533.236147997464","76441","150302","23370.87784580479","219661.78882086187","commonmain-plain-jar","2570.4448","3","False","20","System.Boolean[]","True","System.String[]","True","True","False","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-small","2026-04-20 02:35:25","d5c5eb982cfb438fefdface6cb5a241884188559","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.59","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.39","132","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7692.7723","3","False","20","System.Boolean[]","True","System.String[]","True","True","False","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-small","2026-04-20 02:35:25","d5c5eb982cfb438fefdface6cb5a241884188559","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.59","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.39","132","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"11378","11789","366.773772235693","11084","11789","10467.445174632521","12288.554825367479","commonmain-plain-win-exe","100093.6867","3","False","20","System.Boolean[]","True","System.String[]","True","True","False","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-small","2026-04-20 02:35:25","d5c5eb982cfb438fefdface6cb5a241884188559","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.59","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.39","132","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"120991","138947","16237.026698259753","107341","138947","80680.85753915855","161301.14246084145","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3747.4297","3","False","20","System.Boolean[]","True","System.String[]","True","True","False","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-small","2026-04-20 02:35:25","d5c5eb982cfb438fefdface6cb5a241884188559","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.59","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.39","132","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5505.1282","3","False","20","System.Boolean[]","True","System.String[]","True","True","False","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-small","2026-04-20 02:35:25","d5c5eb982cfb438fefdface6cb5a241884188559","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.59","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.39","132","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"79387","85082","5029.119306598323","75556","85082","66901.67744255948","91872.32255744052","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","67427.2082","3","False","20","System.Boolean[]","True","System.String[]","True","True","False","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","ci-windows-small","2026-04-20 02:35:25","d5c5eb982cfb438fefdface6cb5a241884188559","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.59","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.39","132","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
