"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Dedicated","JVM","TestKIR","FlushEarly","Enabled","CILabel","JS","Methods","Common","InstrumentPropertyAccessors","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4327.0534","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227549.74","223729","13932.637596679539","217288","302166","223687.80989042472","231411.67010957527","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26525.4384","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196716.46","195441.5","8846.248438583605","186318","248693","194264.40503447852","199168.51496552146","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2776.9935","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4327.0534","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226920.28","224593","6994.441093162076","219900","254879","224981.51984278677","228859.04015721323","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26525.4384","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196322.12","195702.5","5823.767535868576","187526","220666","194707.85399746662","197936.38600253337","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2895.7697","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5009.2495","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228039.44","225111.5","8503.241130346494","219761","262332","225682.4618095897","230396.4181904103","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27055.5422","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202589.12","198631","13996.601630745796","187093","249390","198709.45996474652","206468.78003525347","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2895.7697","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5009.2495","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229199.1","227227","8208.648615444368","219076","252174","226923.77868865957","231474.42131134044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27055.5422","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200948.02","199431.5","8842.148583405531","190520","240127","198497.10145635463","203398.93854364534","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4967.5259","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4499.2143","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248435.08","245216","15254.506791858503","222839","278940","244206.74644309765","252663.41355690232","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28706.1059","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217761.72","205535","24037.971444889146","194902","265018","211098.73425505732","224424.70574494268","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4967.5259","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4499.2143","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234509.06","230701.5","9157.828934427902","223786","271647","231970.6393273317","237047.4806726683","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28706.1059","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
