"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Dedicated","Reference","Enabled","Common","CILabel","JVM","TestKIR","InstrumentPropertyAccessors","Methods","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4680.3775","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232757.98","229545","10110.23366065598","223453","272833","229955.5662059145","235560.3937940855","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25003.0477","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202897.48","198270","15865.46575175151","188837","259719","198499.79725945942","207295.1627405406","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3645.536","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4680.3775","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226507.84","223817","8327.352060602727","217611","256378","224199.61577233905","228816.06422766094","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25003.0477","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196667.98","192217.5","12524.681395581141","184567","234682","193196.31543836958","200139.64456163044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","6136.2819","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4804.4858","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233713.24","222688","49075.900061427135","216752","558362","220110.09452330277","247316.3854766972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26776.6566","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195452.46","191865.5","12081.859498742193","182290","246984","192103.53940588573","198801.38059411425","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","6136.2819","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4804.4858","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225161.04","223022.5","10107.333128870305","216686","280727","222359.43019230684","227962.64980769317","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26776.6566","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195359.4","192664","10765.706761826305","183980","227850","192375.2983318231","198343.50166817688","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2222.3331","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4002.4759","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225227.38","223260","6708.706818693426","217277","246717","223367.8213428797","227086.9386571203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22029.019","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194432.72","190932","11022.540566141952","182633","244359","191377.42763335266","197488.01236664734","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2222.3331","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4002.4759","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226429.28","223410.5","7261.989661130575","218800","250214","224416.35916335753","228442.20083664247","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22029.019","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
