"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JS","Native","InstrumentPropertyAccessors","Methods","Common","Reference","CILabel","Enabled","TestKIR","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"97403","116881","25256.11949607461","68867","116881","34702.00222410066","160103.99777589933","commonmain-plain-jar","2555.4913","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","System.Boolean[]","System.Boolean[]","False","True","2026-06-24 03:28:59","636f48a706fda349c4a0e6d1d343357d59b1fb34","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.75","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.36","133","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8809.7759","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","System.Boolean[]","System.Boolean[]","False","True","2026-06-24 03:28:59","636f48a706fda349c4a0e6d1d343357d59b1fb34","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.75","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.36","133","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12655.666666666666","12708","53.53814839283605","12601","12708","12522.752529804638","12788.580803528694","commonmain-plain-win-exe","134185.5923","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","System.Boolean[]","System.Boolean[]","False","True","2026-06-24 03:28:59","636f48a706fda349c4a0e6d1d343357d59b1fb34","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.75","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.36","133","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"131766.33333333334","162098","26312.07913360959","115078","162098","66443.80365920195","197088.86300746474","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3031.6925","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","System.Boolean[]","System.Boolean[]","False","True","2026-06-24 03:28:59","636f48a706fda349c4a0e6d1d343357d59b1fb34","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.75","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.36","133","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5289.1586","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","System.Boolean[]","System.Boolean[]","False","True","2026-06-24 03:28:59","636f48a706fda349c4a0e6d1d343357d59b1fb34","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.75","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.36","133","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"80347.33333333333","85176","4204.937256765353","77492","85176","69908.13020772178","90786.53645894487","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","44192.5033","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-windows-small","System.Boolean[]","System.Boolean[]","False","True","2026-06-24 03:28:59","636f48a706fda349c4a0e6d1d343357d59b1fb34","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.75","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.36","133","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
