"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","TestKIR","JVM","JS","FlushEarly","CILabel","Reference","InstrumentPropertyAccessors","Common","Native","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3105.2871","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111218.32","111108.5","1857.6084519662174","108323","117241","110703.41720699551","111733.2227930045","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12721.2588","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111806.46","112015","3412.1690283394782","104329","120105","110860.65499947053","112752.26500052949","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1683.3708","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3105.2871","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111698.32","111445.5","2978.320067776875","106773","119872","110872.77179594415","112523.86820405586","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12721.2588","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111452.26","111209","3527.49634755882","104772","119467","110474.48789751591","112430.03210248408","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1400.7331","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2485.2913","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111275.76","111134.5","2213.398620092769","107191","119696","110662.23720389527","111889.28279610472","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11662.1314","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111395.14","111359","4337.245928617157","103182","120103","110192.91676494281","112597.36323505719","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1400.7331","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2485.2913","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111466.46","111272","3100.3913789147623","106956","123748","110607.07535480174","112325.84464519827","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11662.1314","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111448.56","111307","3666.867640404396","103040","118244","110432.15614609656","112464.96385390343","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1400.9142","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2298.3812","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111942.74","111338","2914.964695484041","107988","121391","111134.75300918632","112750.7269908137","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11348.0224","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111646.3","110350","3872.521096502528","104340","120746","110572.89191637104","112719.70808362897","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1400.9142","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2298.3812","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110589.94","110430","1840.4725813923835","107612","116306","110079.78702798694","111100.09297201307","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11348.0224","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","True","System.String[]","2026-05-26 03:51:47","3240ee36535f67fe55f2af09cdae185c8f5be83f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","86","0.06","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
