"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","CILabel","JVM","Native","JS","Reference","Enabled","Methods","InstrumentPropertyAccessors","Dedicated","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5848.2002","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113854.22","113839","2397.0288691611195","109062","121595","113189.79749571117","114518.64250428883","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14559.2694","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110464.24","109959","3466.5128602981194","102474","118621","109503.37165776984","111425.10834223017","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5356.3363","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5848.2002","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114703.4","114173.5","4470.150465440001","109449","133246","113464.33750684156","115942.46249315843","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14559.2694","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110583.48","109011.5","4200.84594124098","103683","122817","109419.06491250558","111747.89508749441","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1801.1059","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3043.5988","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113239.46","113020","2475.660680402263","109184","122732","112553.2418696285","113925.67813037151","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12470.9996","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111571.42","110848.5","4884.164574982114","103649","131002","110217.59865057081","112925.24134942918","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1801.1059","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3043.5988","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113657.76","113352","2461.57290481397","110979","125345","112975.44680179542","114340.07319820457","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12470.9996","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111307.66","110883.5","3834.76626544725","101960","121219","110244.71702161925","112370.60297838076","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1456.7551","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2359.6848","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113983.96","113482","2239.754933387279","110107","119084","113363.13160657509","114604.78839342493","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11726.1181","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110431.18","110269.5","3081.7050189921865","104792","118103","109576.97494951397","111285.38505048602","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1456.7551","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2359.6848","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113647.04","113351","2621.3028382458824","110223","123830","112920.45192311285","114373.62807688714","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11726.1181","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
