"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","TestKIR","JS","Native","Dedicated","Common","Enabled","CILabel","JVM","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5002.3602","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220235.52","218700.5","4153.181850001714","215352","232719","219084.31672454224","221386.72327545774","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20404.9382","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185950.72","185891","2348.5568477128195","181585","191409","185299.73325457622","186601.70674542378","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5460.4539","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5002.3602","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219937.56","218555.5","4459.463160516073","215669","240270","218701.459876629","221173.660123371","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20404.9382","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185671.34","185438.5","3128.469310857882","180493","199522","184804.1725491389","186538.5074508611","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2434.682","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4225.7955","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220458.62","218759","4178.8004620504025","216703","239713","219300.315607575","221616.924392425","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18340.4923","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186211.06","185761","4099.181114887833","180706","210828","185074.82496464957","187347.29503535043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2434.682","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4225.7955","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220899.6","218955.5","8943.219946999412","216408","276109","218420.6659036949","223378.5340963051","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18340.4923","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186023.46","185296.5","3414.7738217149013","180189","195230","185076.93298758325","186969.98701241674","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2017.8368","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3437.8438","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220442.38","218840","8993.109473119417","216038","279960","217949.61723258087","222935.14276741914","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17754.0572","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186204.74","185549.5","3741.349019009162","180482","199034","185167.6909612462","187241.78903875378","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2017.8368","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3437.8438","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218472.56","218082.5","1907.0633280368163","215424","223827","217943.94901472845","219001.17098527154","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17754.0572","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
