"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","InstrumentPropertyAccessors","Reference","Native","Enabled","JVM","Methods","Dedicated","TestKIR","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3163.3368","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137256.04","137020.5","2562.6897776216556","131419","143096","136545.69863462518","137966.38136537484","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15256.3916","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154824.02","154470","4066.6289328069824","147017","167673","153696.80796917676","155951.23203082322","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1882.1929","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3163.3368","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137236.28","137372","3127.0603267840775","132003","153267","136369.5030995986","138103.0569004014","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15256.3916","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153653.26","152626.5","4313.809343662442","145790","165403","152457.53305485737","154848.98694514265","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1493.2055","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3183.8284","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137813.02","137082","3712.546661508451","133042","155475","136783.95456742894","138842.08543257104","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14784.3081","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154543.2","154603","4659.124701013253","145027","167684","153251.75652117177","155834.64347882825","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1493.2055","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3183.8284","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137779.92","137063","2901.041528943194","133145","146534","136975.79231405316","138584.04768594686","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14784.3081","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154453.5","154452.5","4979.926850745452","145684","167000","153073.13470197777","155833.86529802223","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1481.0272","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2633.5555","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137580.1","137451","2798.2118506690103","131370","145359","136804.4752466766","138355.72475332342","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14305.2942","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155710.38","155981.5","5172.350801312371","147060","167691","154276.67750409682","157144.0824959032","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1481.0272","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2633.5555","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137298.54","136866","3181.0979827597844","131569","149821","136416.78462555053","138180.2953744495","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14305.2942","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
