"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Methods","Enabled","CILabel","Native","TestKIR","Common","JS","Reference","FlushEarly","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4689.0363","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226439.28","223781","8629.313556164952","217659","261797","224047.3563160407","228831.2036839593","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19897.5235","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199364.24","195067","11486.411191650483","187042","231262","196180.36925591566","202548.11074408432","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3306.6228","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4689.0363","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227404.16","226213","7116.442032249496","219236","250550","225431.58290778156","229376.73709221845","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19897.5235","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200602.18","197187.5","13031.513113532259","188673","255793","196990.02885365355","204214.33114634643","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2341.2716","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3643.4471","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229848.04","225157.5","13822.69245156718","219531","303706","226016.58512983038","233679.49487016964","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18391.5688","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201676.96","197731","12564.658615370985","188494","241070","198194.21431839265","205159.70568160733","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2341.2716","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3643.4471","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254620.94","251622","15361.919786502556","230471","293050","250362.83307999274","258879.04692000727","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18391.5688","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208589.18","200066","19607.69005085005","187694","278798","203154.20560544284","214024.15439455715","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2023.275","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3236.7305","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229519.02","226571.5","8890.7530304565","217520","259758","227054.62899098525","231983.41100901473","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18577.3311","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211481.84","200998.5","19927.08002648759","189126","255752","205958.33522093727","217005.34477906273","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2023.275","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3236.7305","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227881.9","225917.5","6182.3547863319545","220199","250744","226168.23868269834","229595.56131730165","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18577.3311","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","True","True","System.Boolean[]","True","False","2026-09-17 02:40:25","90290f1376bf9418c8f6bd2d08345eec432b2f6c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
