"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","FlushEarly","Native","JS","Common","InstrumentPropertyAccessors","CILabel","Enabled","JVM","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5026.8243","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145296.68","145025.5","3223.216959650652","139812","160901","144403.24984079343","146190.11015920655","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18617.8854","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142663.6","142202","6019.342126233818","134148","171058","140995.12348678923","144332.07651321078","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2649.8421","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5026.8243","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145372.54","144913","3515.489109930625","140968","160458","144398.0961339828","146346.98386601722","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18617.8854","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143973.44","143128","5091.532976162183","136460","163056","142562.13906232096","145384.74093767905","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2194.795","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3323.3822","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144901.36","143699.5","4084.952375312523","139930","163880","143769.0689700402","146033.65102995976","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14991.0195","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144202.14","144339","4660.314533529745","134493","154828","142910.36671642453","145493.9132835755","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2194.795","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3323.3822","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145708.3","144414","4632.313704306094","140525","167997","144424.28815030388","146992.3118496961","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14991.0195","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142575.34","141468","4205.055808360761","136170","152889","141409.75799687498","143740.92200312502","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1438.1333","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2810.2777","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144445.96","144056","2939.5089133099377","139546","150466","143631.16969910378","145260.7503008962","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15046.9478","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143692.4","142794","4347.90984736532","137325","156147","142487.22087747254","144897.57912252744","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1438.1333","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2810.2777","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145599.24","144789","3336.9167582408427","139541","161465","144674.2938645412","146524.1861354588","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15046.9478","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
