"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Enabled","Methods","Native","CILabel","Common","InstrumentPropertyAccessors","Dedicated","FlushEarly","JVM","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6418.2785","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226532.58","224162.5","7369.494070885486","217327","246095","224489.8604612766","228575.29953872337","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29209.7007","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198942.24","194971","13412.156913937504","185329","241581","195224.57977516015","202659.90022483983","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5828.9736","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6418.2785","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226247.92","221725","9576.701027227378","217289","258449","223593.39390680255","228902.44609319748","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29209.7007","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195717.74","194799.5","7024.9437496767505","184887","220321","193770.5249377626","197664.9550622374","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5531.286","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5562.8913","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231165.64","224684","14210.189927869451","218088","267334","227226.77630930147","235104.50369069856","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26166.7524","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223116.18","220293","14602.84578037124","204070","307917","219068.47765983862","227163.88234016136","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5531.286","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5562.8913","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248566.72","234676","32507.031236924224","225244","362313","239556.23064824217","257577.20935175783","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26166.7524","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210095.96","200051.5","23290.050310545816","190295","262533","203640.28741656497","216551.632583435","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4002.6695","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4858.6987","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230409.18","228034","9501.45055454209","220388","261748","227775.51227365565","233042.84772634433","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20090.8859","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205160.52","197513.5","18993.265410365104","184723","247592","199895.85542673033","210425.18457326965","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4002.6695","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4858.6987","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229839","226815.5","9399.373368171184","220504","270268","227233.62662616506","232444.37337383494","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20090.8859","50","False","500","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-09-20 02:37:10","3c42632a0b411919c632f517480e08e91bf3edba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.5","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.34","High performance","0.08","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
