"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","JS","Native","Enabled","Methods","FlushEarly","Common","JVM","Dedicated","TestKIR","CILabel","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"63568","72567","7795.839467305622","58872","72567","44214.00093546556","82921.99906453444","commonmain-plain-jar","3311.3265","3","False","20","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-small","System.Boolean[]","2026-06-13 03:35:18","dc988385415a5adefb0c11f8d67528403b57a327","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","11.99","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.68","High performance","0.31","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9810.7394","3","False","20","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-small","System.Boolean[]","2026-06-13 03:35:18","dc988385415a5adefb0c11f8d67528403b57a327","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","11.99","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.68","High performance","0.31","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"11929.666666666666","12476","511.17739908307107","11463","12476","10660.614508120332","13198.718825213","commonmain-plain-win-exe","99912.8462","3","False","20","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-small","System.Boolean[]","2026-06-13 03:35:18","dc988385415a5adefb0c11f8d67528403b57a327","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","11.99","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.68","High performance","0.31","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"155170.33333333334","182734","23916.76467111163","139907","182734","95794.42609298506","214546.24057368163","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3998.6753","3","False","20","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-small","System.Boolean[]","2026-06-13 03:35:18","dc988385415a5adefb0c11f8d67528403b57a327","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","11.99","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.68","High performance","0.31","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5255.3507","3","False","20","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-small","System.Boolean[]","2026-06-13 03:35:18","dc988385415a5adefb0c11f8d67528403b57a327","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","11.99","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.68","High performance","0.31","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"87408.33333333333","99154","10172.388428158518","81452","99154","62154.299184948686","112662.36748171797","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","43612.7966","3","False","20","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-small","System.Boolean[]","2026-06-13 03:35:18","dc988385415a5adefb0c11f8d67528403b57a327","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","11.99","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.68","High performance","0.31","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
