"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Native","Reference","CILabel","JVM","InstrumentPropertyAccessors","TestKIR","Methods","FlushEarly","Dedicated","Enabled","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7486.2299","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223349.52","220999.5","5593.21224649","217330","241121","221799.16066322138","224899.8793367786","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29863.3277","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200506.18","193535","17528.408699547355","183572","252717","195647.55299129518","205364.8070087048","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4634.6239","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7486.2299","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235877.76","234537","6175.836476633951","225865","253089","234165.90546596618","237589.61453403384","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29863.3277","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197489.68","195655","8035.9650333957525","186327","218241","195262.22413555108","199717.1358644489","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5140.0621","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4640.3757","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224797.24","223910.5","6133.866961420679","218487","256954","223097.01882205985","226497.46117794013","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22135.2634","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191334.08","188953","10063.056497660244","183043","240350","188544.7430483281","194123.41695167188","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5140.0621","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4640.3757","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223588.64","221319","6153.056435659287","217358","252474","221883.09977117417","225294.18022882586","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22135.2634","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201702.3","196155.5","15124.151051566902","182455","234720","197510.09921084496","205894.50078915502","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2524.6615","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3876.4065","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231880.46","228722","9785.004058084734","221997","272752","229168.19525242344","234592.72474757655","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21290.3407","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203990.22","198232.5","16027.612623843886","182275","242672","199547.59243955996","208432.84756044004","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2524.6615","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3876.4065","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223935.98","221624.5","5536.318674803645","217922","241785","222401.39075671678","225470.56924328324","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21290.3407","50","False","500","True","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-09-03 02:17:31","73f6df79df42b98ad02a8bd2f2567ffef49cb075","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.08","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
