"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Enabled","CILabel","JVM","Methods","Dedicated","FlushEarly","InstrumentPropertyAccessors","Reference","Native","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5753.8769","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245403.16","240853","15219.986208205288","225111","295670","241184.39506070403","249621.92493929598","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","33079.5433","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220037.32","218921.5","7570.035643945956","211685","255068","217939.01317323805","222135.62682676196","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2754.5","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5753.8769","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247136.5","244551.5","12022.086328240763","229009","277449","243804.14768345002","250468.85231654998","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","33079.5433","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219962.74","218660.5","4768.2168609514","212052","235687","218641.05771719365","221284.42228280634","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3638.276","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4900.7866","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250912.16","247815.5","15767.675448052005","223774","290906","246541.58334871646","255282.73665128354","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23140.3276","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254871.68","254934","17420.65304598457","221616","285590","250042.9213346066","259700.4386653934","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3638.276","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4900.7866","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246403.54","243874.5","10688.242548898375","228470","276176","243440.9103161653","249366.1696838347","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23140.3276","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218157.74","218126.5","2732.991161003352","212647","223886","217400.1934995156","218915.2865004844","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2063.893","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3530.8225","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247843.84","246718.5","12460.069135917214","226749","284838","244390.08504301638","251297.5949569836","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20207.6498","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219075.36","218848.5","4689.383518771146","211236","229225","217775.52920480265","220375.19079519733","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2063.893","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3530.8225","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248437.3","246062.5","16234.987083519369","226609","297186","243937.1911719808","252937.40882801916","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20207.6498","50","False","500","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-06-27 02:31:36","d7a89f72d8e6633da6605f6048530369f7fb8c2b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.65","High performance","0.32","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
