"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Reference","TestKIR","JS","Dedicated","Enabled","Methods","FlushEarly","Native","Common","InstrumentPropertyAccessors","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"70709","78265","6629.466117267664","65868","78265","54250.64659623164","87167.35340376836","commonmain-plain-jar","2058.1087","3","False","20","ci-linux-small","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","2026-07-01 02:15:20","b7285debc5d93976f40b43cf35f33724ae8c62bf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.09","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6536.9651","3","False","20","ci-linux-small","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","2026-07-01 02:15:20","b7285debc5d93976f40b43cf35f33724ae8c62bf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.09","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11912.333333333334","12332","409.4170652688201","11514","12332","10895.91200610508","12928.754660561588","commonmain-plain-linux-exe","17916.5749","3","False","20","ci-linux-small","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","2026-07-01 02:15:20","b7285debc5d93976f40b43cf35f33724ae8c62bf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.09","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156063.33333333334","251852","82995.3430761831","105595","251852","-49981.41643270117","362108.08309936785","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2447.2924","3","False","20","ci-linux-small","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","2026-07-01 02:15:20","b7285debc5d93976f40b43cf35f33724ae8c62bf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.09","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4530.2566","3","False","20","ci-linux-small","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","2026-07-01 02:15:20","b7285debc5d93976f40b43cf35f33724ae8c62bf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.09","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"47352.333333333336","50316","2583.2240191925544","45578","50316","40939.20547704424","53765.46118962243","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","21727.081","3","False","20","ci-linux-small","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","2026-07-01 02:15:20","b7285debc5d93976f40b43cf35f33724ae8c62bf","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.09","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
