"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","InstrumentPropertyAccessors","Native","Reference","JVM","JS","Dedicated","Common","CILabel","TestKIR","Enabled","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3917.6681","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144611.64","144500","2421.945909842761","140416","152567","143940.3108444054","145282.96915559462","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18486.2468","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144761.94","144415.5","4880.366402312056","135563","156845","143409.17145032206","146114.70854967795","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2688.3874","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3917.6681","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145260.14","145152","3595.48158626113","139170","157120","144263.52335077958","146256.75664922045","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18486.2468","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142617.66","142019.5","4754.068709032726","132622","157216","141299.89938482555","143935.42061517446","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2995.1968","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4276.7334","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144416.96","144303.5","4721.525898975232","137897","163393","143108.21979156038","145725.7002084396","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17298.491","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144046.92","143027.5","6421.034349380042","135878","174531","142267.1000831741","145826.73991682593","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2995.1968","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4276.7334","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144171.02","143021.5","4472.1511670354275","138949","167464","142931.40294065277","145410.6370593472","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17298.491","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142889.74","142384","4593.906495587833","132242","154322","141616.37408541449","144163.1059145855","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2273.3287","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3866.1777","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145292.6","145071","4365.186229283527","139707","161125","144082.63210872354","146502.56789127647","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17345.2036","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146447.98","146204.5","4955.350534317344","138285","161263","145074.42690933892","147821.5330906611","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2273.3287","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3866.1777","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144494.84","143892.5","3622.4815226638248","139787","161064","143490.73935023576","145498.94064976423","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17345.2036","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
