"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","CILabel","Methods","Reference","Common","FlushEarly","JS","TestKIR","Enabled","InstrumentPropertyAccessors","Native","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4767.6575","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137105.9","136442.5","2872.460036843908","132706","145484","136309.69469947004","137902.10530052995","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16829.139","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155101.04","154590.5","5545.968353494202","144297","165946","153563.77600224732","156638.3039977527","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3105.2941","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4767.6575","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136735.94","136068","3253.0256648108953","131306","150838","135834.24728927104","137637.63271072897","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16829.139","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156649.8","156398.5","5909.04001319597","142947","171054","155011.89767265564","158287.70232734433","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1797.7345","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3148.6982","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136727.06","136917","3143.5381561520244","130941","148584","135855.71567832356","137598.40432167644","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17648.7326","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157454.54","158219","5657.350779764865","146212","169553","155886.40236883028","159022.67763116973","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1797.7345","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3148.6982","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141720.44","135536.5","36419.56153854123","131417","391857","131625.45257875664","151815.42742124337","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17648.7326","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156336.14","156055","5874.036445552025","145491","167942","154707.940166594","157964.33983340603","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2797.835","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3524.5067","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138151.36","136726.5","6307.294131044644","132518","167918","136403.06726320807","139899.6527367919","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18489.0315","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155023.02","154837.5","4755.190815673898","145162","168432","153704.9483527332","156341.0916472668","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2797.835","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3524.5067","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136768.14","136531.5","3190.4447582602343","131183","149578","135883.7938315618","137652.48616843822","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18489.0315","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
