"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Reference","InstrumentPropertyAccessors","FlushEarly","JVM","CILabel","Enabled","TestKIR","Dedicated","Native","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4724.7397","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220743.84","219598","4071.0307492860647","217440","239018","219615.40784789826","221872.27215210174","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21370.4569","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202736.24","202948","13390.89957283662","183654","234583","199024.4720094968","206448.0079905032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4310.7438","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4724.7397","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219149.12","218155.5","3751.570733026096","214654","234781","218109.2376466739","220189.0023533261","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21370.4569","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186106.5","185723","2278.4201405216495","181483","194572","185474.9541579521","186738.0458420479","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2797.2891","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4525.8434","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233570.96","231916.5","16318.067259954782","215975","287499","229047.8225219741","238094.09747802588","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18934.9647","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206488.46","203629","18481.465936213735","182698","260672","201365.65900321215","211611.26099678784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2797.2891","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4525.8434","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228966.72","218789","19108.764388379805","213928","282958","223670.0407433852","234263.3992566148","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18934.9647","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187916.62","186976","3884.5429110981995","183992","205610","186839.8796393749","188993.36036062508","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2064.8624","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3077.6909","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240076.84","234976.5","21676.597587109227","218195","353786","234068.39369441642","246085.28630558358","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18512.7641","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201783.94","201810","9382.078820620009","185465","228894","199183.36043017067","204384.51956982934","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2064.8624","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3077.6909","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220898.88","219097","5027.127794561934","215902","241171","219505.43126785697","222292.32873214304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18512.7641","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
