"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","Enabled","Reference","JVM","TestKIR","Native","Dedicated","CILabel","InstrumentPropertyAccessors","Common","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4049.8394","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142225.12","142051","2872.1092842035387","136260","152586","141429.0119231417","143021.2280768583","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15392.8161","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144260.34","143633.5","4927.254472537708","135681","155836","142894.57474033604","145626.10525966395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2791.2481","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4049.8394","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142332.32","142234.5","3628.6161439314574","137524","159298","141326.51891997483","143338.1210800252","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15392.8161","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145240.22","144456.5","3819.219603424719","138506","155701","144181.5863364745","146298.85366352552","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1768.7718","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2912.605","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144149.7","142286","12699.206233028093","137886","229416","140629.65962152023","147669.7403784798","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13817.6439","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143908.06","143882","3816.5738102895057","135016","152492","142850.15971291537","144965.96028708463","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1768.7718","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2912.605","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141779.98","141218.5","2916.104638880086","137688","155970","140971.67703299777","142588.28296700225","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13817.6439","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143943.68","143868.5","4244.1884897264545","136583","152779","142767.25097100597","145120.10902899402","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1702.9161","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2599.5585","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142960.72","142391","3359.257358648285","137455","154010","142029.581366044","143891.858633956","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13729.4569","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143352.4","142859","3932.430821167145","135801","151878","142262.38578792385","144442.41421207614","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1702.9161","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2599.5585","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142461.52","141750","2790.1012214832726","138064","147988","141688.14339838817","143234.8966016118","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13729.4569","50","False","500","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-05-19 03:51:36","3fe3590d4cf7b45f3aa39eb4eb94dafd76d197fe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","86","0.02","158","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
