"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","IOA","JVM","Reference","CILabel","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"32964.666666666664","34775","2131.1199715955304","30616","34775","27673.935102779575","38255.39823055375","commonmain_plain_jar","990.6414","3","False","5","True","True","True","linux-small","True","True","2026-04-10 17:07:31","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","12.71","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"32110.333333333332","35453","2927.18659011231","30005","35453","24843.28188052403","39377.38478614263","commonmain_ioa_jar","1883.7335","3","False","5","True","True","True","linux-small","True","True","2026-04-10 17:07:31","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","12.71","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"2430.6666666666665","2529","96.55223111525353","2336","2529","2190.965503178089","2670.367830155244","commonmain_plain_exe","1116.8458","3","False","5","True","True","True","linux-small","True","True","2026-04-10 17:07:31","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","12.71","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
"2409.6666666666665","2508","87.83127764830324","2339","2508","2191.6161959545448","2627.7171373787883","commonmain_ioa_exe","15233.7585","3","False","5","True","True","True","linux-small","True","True","2026-04-10 17:07:31","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","12.71","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_plain_node","930.9878","3","False","5","True","True","True","linux-small","True","True","2026-04-10 17:07:31","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","12.71","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
,,,,,,,"commonmain_ioa_node","4443.4981","3","False","5","True","True","True","linux-small","True","True","2026-04-10 17:07:31","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","12.71","145","84","0.1","152","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","Gradle 9.0.0","Kotlin:        2.2.0"
