"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","Common","FlushEarly","Reference","Dedicated","Enabled","Native","TestKIR","JVM","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4404.8688","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136251.98","135835","3471.938031340621","130914","145396","135289.6078770784","137214.3521229216","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18132.26","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152267.44","152116","4379.652638168969","144181","163979","151053.4622247612","153481.4177752388","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2640.2899","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4404.8688","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137766.98","136078.5","7117.851233572201","130679","169848","135794.01229710353","139739.9477028965","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18132.26","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151616.12","151424.5","5254.8473740044665","142825","163686","150159.5506207945","153072.6893792055","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2571.1369","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4467.0895","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136341.48","136109","2784.691169188264","131137","142731","135569.60298837663","137113.3570116234","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17519.7511","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152016.66","150913","5115.98335595097","144766","167692","150598.58176281527","153434.73823718473","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2571.1369","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4467.0895","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135119.68","135030.5","2893.208955256345","129382","140612","134317.72339271265","135921.63660728734","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17519.7511","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153911.5","152669","4844.329199998611","146223","166034","152568.72045317333","155254.27954682667","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1664.1849","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2539.6946","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135814.62","136105.5","2782.4553750020054","130544","142375","135043.36271890695","136585.87728109304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15223.8336","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153518.84","152816.5","5483.51990470593","143410","171020","151998.8858291195","155038.7941708805","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1664.1849","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2539.6946","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135762.98","135730","3230.359034130379","129147","141309","134867.5701587493","136658.38984125073","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15223.8336","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-09-24 03:45:13","8ba78c4cec2a90d9ad4af7ac51f299af81abaade","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","82","0.02","158","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
