"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","CILabel","FlushEarly","JVM","Common","Enabled","Reference","Methods","TestKIR","Dedicated","InstrumentPropertyAccessors","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4627.7227","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240278.68","234495","11848.735515829596","228124","270765","236994.37807716223","243562.98192283776","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23065.7588","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205580.38","202770","9949.196661017","198625","251383","202822.60338486545","208338.15661513456","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3008.1778","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4627.7227","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243528.32","241833","16160.501225354796","224046","294407","239048.85759850184","248007.78240149817","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23065.7588","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200325.48","202926.5","13148.653393051785","173026","221851","196680.85922474222","203970.1007752578","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2566.8448","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4052.8958","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246003.88","241823","16207.964465279254","227489","287575","241511.26145960923","250496.49854039078","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19493.4077","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204739.94","203883","4010.6179350339926","198518","221306","203628.25342566453","205851.62657433547","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2566.8448","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4052.8958","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"275780.48","263180.5","31917.348319760178","240647","346483","266933.4424137169","284627.51758628304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19493.4077","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209519.02","207479","11204.82970117105","199884","269718","206413.1996630145","212624.84033698548","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2523.7462","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4456.2625","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"264156.04","262870","14331.477605805841","241370","303131","260183.5570802005","268128.52291979943","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19151.1745","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229985.46","225947","26065.869824006273","188227","309015","222760.3695024484","237210.5504975516","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2523.7462","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4456.2625","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"291807.42","293969","9533.01762852216","271602","310507","289165.00232716283","294449.83767283714","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19151.1745","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
