"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JS","Enabled","FlushEarly","Methods","Reference","JVM","Dedicated","InstrumentPropertyAccessors","Native","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"189626.54","187391","11095.820277979652","181102","260393","186550.93553353645","192702.14446646356","commonmain-plain-jar","2750.2924","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8408.4989","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234174.4","220772","24731.41934413612","217749","294793","227319.20030397014","241029.59969602985","commonmain-plain-win-exe","86000.1308","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188665.28","188355","3055.107734096913","183026","200073","187818.44734075412","189512.11265924587","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3245.92","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4718.952","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220070.34","219228.5","4580.721089344705","215867","245207","218800.62889356006","221340.05110643993","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25117.1449","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188692.9","187667.5","3967.270455533242","182929","209894","187593.22873397183","189792.57126602816","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3245.92","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4718.952","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221731.38","218546","8612.143616369829","214171","261517","219344.2155805385","224118.5444194615","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25117.1449","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187411.5","187327","3802.6162435773567","182552","208585","186357.4685530232","188465.5314469768","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3503.0516","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","False","System.Boolean[]","True","ci-windows-large","True","2026-06-30 02:38:10","f86262f694cc4c05b21e9c8ffc7641598201c571","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.69","High performance","1.28","131","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
