"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Native","TestKIR","InstrumentPropertyAccessors","Common","JS","Enabled","Dedicated","CILabel","Methods","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3871.6739","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137495.04","137212","2607.552859816018","132491","144107","136772.26322268453","138217.8167773155","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17208.5188","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154443.74","153483","6615.819981911633","145002","182190","152609.92826045086","156277.55173954912","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2328.9934","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3871.6739","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137576.98","137335","3337.0403879204464","131176","151642","136651.99959614238","138501.96040385764","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17208.5188","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156102.3","155790","5192.701531368576","146149","168945","154662.95656952067","157541.6434304793","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1795.0158","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2782.4101","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138125.74","137248","5546.970417135052","132967","173278","136588.198244377","139663.28175562297","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14468.861","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154515.08","154591","4680.151353038375","144007","168177","153217.80823058455","155812.35176941543","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1795.0158","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2782.4101","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138964.52","138009.5","4817.135905943129","132776","165662","137629.27804972406","140299.76195027592","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14468.861","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154519.14","154115","5016.351019558796","144615","165241","153128.67843748513","155909.6015625149","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1524.9741","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2708.095","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137162.62","137514","2276.9858871332694","133101","143046","136531.47171270847","137793.76828729152","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14244.1226","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155056.64","155283","4859.318515922133","146092","165394","153709.7056267749","156403.57437322513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1524.9741","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2708.095","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139085.4","136745","12729.12605172941","132370","224985","135557.06627089556","142613.73372910442","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14244.1226","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-linux-large","System.String[]","True","System.Boolean[]","2026-06-14 04:20:58","8e076505846e5ad3f3805268211aed4751d36ea2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","85","0.07","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
