"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","TestKIR","Native","Dedicated","Enabled","Reference","JVM","InstrumentPropertyAccessors","Methods","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4031.0622","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223627.94","221569.5","6063.368523640088","218970","251471","221947.25999203962","225308.6200079604","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20350.3993","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192230.54","190962","4709.78488269098","185442","209975","190925.05423523558","193536.02576476443","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2351.1273","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4031.0622","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224971.4","222095","9479.76267678486","218126","278278","222343.74384666485","227599.05615333514","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20350.3993","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192102.06","190552.5","5736.3231678595685","186011","215962","190512.03233966016","193692.08766033984","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2817.3855","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3739.1514","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234953.76","231548","13504.578438380346","225783","317612","231210.48183558902","238697.038164411","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19975.9722","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199068.68","199238","4132.699875729804","190782","210873","197923.15403815894","200214.20596184104","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2817.3855","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3739.1514","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234297.94","232352","7405.785006854784","225776","269000","232245.16112704418","236350.71887295583","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19975.9722","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200508.1","197542","9923.726037088272","191542","239244","197757.38348161866","203258.81651838135","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2115.065","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3362.7334","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232379.72","231105.5","4823.420985320756","225719","247293","231042.7359146028","233716.7040853972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18462.1182","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199939.04","199563","4608.524762672245","191624","219142","198661.62210850694","201216.45789149308","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2115.065","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3362.7334","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236505.88","232236","12392.07934593377","224328","279112","233070.9708513035","239940.78914869652","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18462.1182","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
