"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Methods","Reference","TestKIR","JVM","FlushEarly","Dedicated","InstrumentPropertyAccessors","JS","Enabled","Native","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5356.3678","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222608.74","220850.5","5979.249887463702","216404","246088","220951.37648840089","224266.1035115991","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22214.9573","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216999.72","218842.5","12976.457966200614","185809","241889","213402.8293619164","220596.6106380836","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2854.7266","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5356.3678","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243910.44","240814.5","16615.920397606384","222844","305139","239304.7418443891","248516.1381556109","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22214.9573","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201082.72","197360.5","11766.569558937139","188062","228209","197821.19331844038","204344.24668155963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2525.5412","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4286.0031","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246450.62","244874.5","17156.214234284118","219014","285702","241695.1600335758","251206.07996642418","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19841.7026","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188908.12","186654","8154.8765669408385","181798","222204","186647.7035400725","191168.53645992748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2525.5412","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4286.0031","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"271187.48","259942.5","33026.90618468894","230257","346443","262032.88866467623","280342.07133532374","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19841.7026","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214373.38","211439","20839.03093431229","187736","281988","208597.0953258927","220149.6646741073","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2408.5278","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4143.516","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"283396.7","283103.5","9043.343077103958","261476","298586","280890.0131879487","285903.38681205135","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19396.392","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254406.54","254776.5","17102.59570967435","208757","288639","249665.94233033655","259147.13766966347","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2408.5278","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4143.516","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243014.16","241572.5","17369.02706304342","217814","291107","238199.71132699487","247828.60867300513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19396.392","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
