"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Reference","JS","Methods","Dedicated","Enabled","Native","CILabel","JVM","FlushEarly","InstrumentPropertyAccessors","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3605.2794","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136296.64","136051","2332.0655883939944","132237","142188","135650.22439844374","136943.0556015563","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15484.8319","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153811.34","153629","4539.482509435342","145174","161662","152553.0596447242","155069.62035527578","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2441.8114","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3605.2794","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137606.78","136857","2967.933805370535","131588","147751","136784.110721003","138429.449278997","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15484.8319","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152778.18","151922","4676.2631544201795","141619","164611","151481.9859842555","154074.37401574448","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1778.0021","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3285.8482","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137488.86","137262.5","2595.679966830287","132329","143245","136769.37422071636","138208.3457792836","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14560.0499","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153482.98","154325.5","4820.655512585441","140558","165932","152146.76246453632","154819.1975354637","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1778.0021","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3285.8482","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137609.64","137320.5","2878.9727742898226","130997","144127","136811.62946075172","138407.6505392483","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14560.0499","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151811.58","151910.5","3901.817562289113","144486","161800","150730.05135035902","152893.10864964096","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1538.3637","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2792.6856","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137367.62","137147.5","2687.460472533238","132219","143563","136622.69396247476","138112.54603752523","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14282.7545","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153614.76","152818","5322.7282806271205","142828","171239","152139.37499343522","155090.1450065648","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1538.3637","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2792.6856","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137737.44","136864.5","5356.590943607965","131955","167614","136252.66874213508","139222.21125786492","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14282.7545","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
