"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Reference","Enabled","CILabel","Dedicated","Methods","JS","TestKIR","Common","FlushEarly","InstrumentPropertyAccessors","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5221.8989","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233273.6","230608.5","10290.738935408606","220737","267542","230421.15269641805","236126.04730358196","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28559.3378","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205709.88","201902.5","13991.173405065505","189113","244751","201831.72459214035","209588.03540785966","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5304.8103","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5221.8989","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229791.56","227327","8911.757794404111","219537","263469","227321.34676746363","232261.77323253636","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28559.3378","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201470.22","199098.5","8651.415088425993","190440","228622","199072.17008385283","203868.26991614717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4177.4643","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5535.7287","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235291.88","226119","24294.29537191724","216550","356838","228557.8448873604","242025.9151126396","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21424.9236","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191894.14","188552","11308.087932726987","182117","236478","188759.6979414819","195028.58205851814","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4177.4643","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5535.7287","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221201.38","219173.5","5783.415535893675","214815","244109","219598.29900121078","222804.46099878923","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21424.9236","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189598.94","189327","5867.892158525208","181655","203729","187972.4432760667","191225.4367239333","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2731.0095","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3503.3699","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219839.38","218845.5","3932.3675575605976","215075","228899","218749.38332370092","220929.37667629909","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22305.9536","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185764.2","185070","4338.921148706654","178979","203256","184561.51241762462","186966.8875823754","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2731.0095","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3503.3699","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220673.28","217267.5","15738.531041636996","213366","326189","216310.78176602104","225035.77823397896","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22305.9536","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
