"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","JVM","Reference","TestKIR","Methods","InstrumentPropertyAccessors","Native","Dedicated","Common","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3068.1748","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137346.92","136404.5","3869.2116733336297","131561","155609","136274.42924167236","138419.41075832766","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14755.2887","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154019.46","154705.5","4811.741350581717","143549","169339","152685.71334418165","155353.20665581833","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1778.7681","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3068.1748","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136758.3","136694.5","3144.9271640766083","130386","145187","135886.5706649699","137630.02933503006","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14755.2887","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154278.24","154031","5870.856929280566","144143","175907","152650.9214835404","155905.55851645957","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1504.756","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2931.4226","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137373.38","137400","2276.9200723605486","132477","142449","136742.24995563272","138004.51004436729","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14365.2764","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155160.66","156046","5102.269821463817","143903","164079","153746.38296064138","156574.93703935863","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1504.756","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2931.4226","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137274.54","137715.5","2826.0114693500377","131841","146148","136491.20958551415","138057.87041448586","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14365.2764","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153700.76","153373","5403.234271645614","142718","164913","152203.0598712225","155198.46012877751","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1369.7351","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2327.6192","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137755.52","137455.5","3578.431541263603","131242","150649","136763.62938213497","138747.410617865","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13894.9121","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153704.78","153016","4986.778090723753","145556","170610","152322.5156351445","155087.0443648555","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1369.7351","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2327.6192","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137633.9","137613.5","2866.9945028883185","130753","144503","136839.2096681902","138428.5903318098","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13894.9121","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
