"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","JVM","FlushEarly","Reference","Common","Native","InstrumentPropertyAccessors","TestKIR","JS","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"201367.54","191993.5","28966.857324775116","172943","302523","193338.33679234743","209396.7432076526","commonmain-plain-jar","3096.3451","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9201.8021","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241418.66","237961.5","12353.927065644562","228447","278601","237994.3261238587","244842.99387614132","commonmain-plain-win-exe","94769.7151","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177181.46","175877","4437.076479174189","172848","197263","175951.56514810957","178411.3548518904","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3633.7507","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4297.4059","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243364","235960.5","21920.746246421448","224814","293689","237287.87913875046","249440.12086124954","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26738.8313","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183159.54","177241","12082.951770075026","173359","220585","179810.31664371895","186508.76335628107","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3633.7507","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4297.4059","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242424.28","240801.5","7254.843947012932","231729","263042","240413.33985425785","244435.22014574215","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26738.8313","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186806.08","185381","7947.42182772219","176366","208026","184603.1670600057","189008.99293999426","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6892.9405","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5149.5021","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229891.28","227514","6539.318300738032","224338","261217","228078.67344460264","231703.88655539736","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21912.7375","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
