"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","JVM","InstrumentPropertyAccessors","Enabled","TestKIR","Methods","CILabel","Reference","Dedicated","FlushEarly","Common","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"87971","125403","33176.30505345645","62198","125403","5607.300790680019","170334.69920931998","commonmain-plain-jar","2769.0567","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-small","True","False","System.Boolean[]","True","True","2026-04-25 02:15:47","20224317184b29da63bcc1c9d392efa0d207370c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.4","131","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8008.6823","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-small","True","False","System.Boolean[]","True","True","2026-04-25 02:15:47","20224317184b29da63bcc1c9d392efa0d207370c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.4","131","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"11407","11622","195.16915739942107","11241","11622","10922.471848083107","11891.528151916893","commonmain-plain-win-exe","126899.6115","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-small","True","False","System.Boolean[]","True","True","2026-04-25 02:15:47","20224317184b29da63bcc1c9d392efa0d207370c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.4","131","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"125923","132233","9389.918583246608","115132","132233","102611.53030666377","149234.46969333623","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4697.2767","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-small","True","False","System.Boolean[]","True","True","2026-04-25 02:15:47","20224317184b29da63bcc1c9d392efa0d207370c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.4","131","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","8179.1712","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-small","True","False","System.Boolean[]","True","True","2026-04-25 02:15:47","20224317184b29da63bcc1c9d392efa0d207370c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.4","131","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"81315.66666666667","89917","7454.34707625915","76732","89917","62809.45871488885","99821.87461844449","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","110893.1278","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-small","True","False","System.Boolean[]","True","True","2026-04-25 02:15:47","20224317184b29da63bcc1c9d392efa0d207370c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.69","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.4","131","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
