"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","JVM","FlushEarly","CILabel","Dedicated","Common","Methods","InstrumentPropertyAccessors","TestKIR","Native","Enabled","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"170034.5","160088","24980.49990288343","143106","229854","163110.25869552657","176958.74130447343","commonmain-plain-jar","1899.9069","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6260.1809","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138068.02","137753.5","3646.5310576894685","132314","155781","137057.25315922976","139078.78684077022","commonmain-plain-linux-exe","18043.4805","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158280.66","157761.5","6319.665260477788","147125","172177","156528.93816107896","160032.38183892105","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3439.0373","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4641.8978","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137996.2","137246.5","3857.168587215768","130473","155876","136927.04741483362","139065.3525851664","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20595.8155","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157174","156580.5","5806.26051986042","146343","172512","155564.5866947238","158783.4133052762","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3439.0373","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4641.8978","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137590.44","137398","2670.87523803394","130393","143817","136850.1111549333","138330.7688450667","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20595.8155","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156761.6","156910.5","4503.573841621648","147319","167464","155513.27301962988","158009.92698037013","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2321.3605","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
