"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","InstrumentPropertyAccessors","Reference","Methods","Native","TestKIR","JVM","Common","Dedicated","CILabel","FlushEarly","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5143.5242","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253283.18","252290","16272.914976244472","225038","297890","248772.55809648515","257793.80190351483","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25053.3437","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230493.82","228176.5","14735.671299279453","211891","287987","226409.30030438586","234578.33969561415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3149.7083","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5143.5242","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254437.46","253648","15861.164042531105","227569","292599","250040.9696324215","258833.95036757848","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25053.3437","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240312.26","228609","30152.87072318966","211742","367931","231954.3106506414","248670.20934935863","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3489.0494","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4558.9085","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234891.66","227804","21097.90252521974","214820","317411","229043.6197817969","240739.7002182031","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25213.8616","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185420.3","185123.5","3336.3477786345957","179348","195410","184495.51157764165","186345.08842235833","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3489.0494","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4558.9085","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224301.92","220506","17387.50968759835","216831","339159","219482.34820484536","229121.49179515467","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25213.8616","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186318.02","185492","6569.7796704272505","177903","223410","184496.9699837026","188139.07001629737","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2508.1622","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3974.1661","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234520.92","223089.5","24271.167378431488","215145","297076","227793.2956400838","241248.54435991624","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18066.3925","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186982.44","185608","4742.589037861157","180095","206364","185667.8613873314","188297.01861266862","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2508.1622","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3974.1661","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223271.72","220351","7943.660763663267","216153","255096","221069.84957377473","225473.59042622527","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18066.3925","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
