"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","FlushEarly","TestKIR","Methods","Enabled","Dedicated","JS","Reference","CILabel","JVM","Native","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"175583","192235","16602.721373317087","159030","192235","134364.98168709062","216801.01831290938","commonmain-plain-jar","2722.1896","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-windows-small","True","True","True","2026-07-22 02:30:25","5516a04bee9416fc8bd54293890c6a99184bca3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.64","High performance","0.33","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7872.5223","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-windows-small","True","True","True","2026-07-22 02:30:25","5516a04bee9416fc8bd54293890c6a99184bca3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.64","High performance","0.33","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"18627","20381","2013.0643308150884","16429","20381","13629.354096843861","23624.64590315614","commonmain-plain-win-exe","110203.0083","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-windows-small","True","True","True","2026-07-22 02:30:25","5516a04bee9416fc8bd54293890c6a99184bca3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.64","High performance","0.33","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189827.33333333334","291837","88386.92904685247","136035","291837","-29602.600962258555","409257.26762892527","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4514.2123","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-windows-small","True","True","True","2026-07-22 02:30:25","5516a04bee9416fc8bd54293890c6a99184bca3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.64","High performance","0.33","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","8439.4329","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-windows-small","True","True","True","2026-07-22 02:30:25","5516a04bee9416fc8bd54293890c6a99184bca3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.64","High performance","0.33","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"105723.66666666667","128893","20105.953007339227","92860","128893","55808.50392793121","155638.82940540212","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","48076.5596","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-windows-small","True","True","True","2026-07-22 02:30:25","5516a04bee9416fc8bd54293890c6a99184bca3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.64","High performance","0.33","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
