"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Native","JVM","Dedicated","CILabel","FlushEarly","JS","Enabled","TestKIR","Common","Methods","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4162.1181","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222396.8","220481","5425.6936131404855","217431","246227","220892.87445937505","223900.72554062493","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21113.1737","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190238.24","188420.5","7303.82653011699","183724","224035","188213.72257492205","192262.75742507793","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3295.087","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4162.1181","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222514.68","220916","5231.927207413485","215215","248347","221064.46376684168","223964.8962331583","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21113.1737","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188507.44","188039.5","3096.028991584978","184079","203247","187649.26454687765","189365.61545312236","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5624.5748","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5785.0845","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221957.96","220804.5","4203.006154297329","217267","239815","220792.9461319956","223122.9738680044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29379.5941","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188984.48","188261.5","3532.3206931398045","183554","201305","188005.3706571457","189963.58934285433","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5624.5748","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5785.0845","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220742.54","219976","3596.3563942821183","215870","238505","219745.6808663675","221739.3991336325","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","29379.5941","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189041.62","189036.5","2811.1329322636348","183513","194548","188262.41370558558","189820.8262944144","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2851.5985","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4030.6335","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221875.94","220431","4158.175293543639","217087","237353","220723.35261260858","223028.52738739143","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20624.8005","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188516.78","187848","5092.035398701845","183829","220166","187105.3397978981","189928.2202021019","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2851.5985","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4030.6335","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223029.06","220240.5","14830.955208080215","217144","323944","218918.12895234989","227139.9910476501","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20624.8005","50","False","500","True","True","True","False","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-05-21 02:36:39","20ebfd5bb9a94f201f590f8506075e9bd61f8d5f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.97","High performance","0.85","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
