"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","FlushEarly","Dedicated","Enabled","TestKIR","CILabel","JS","Native","Reference","JVM","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144080.98","142281","6914.303994928608","134234","171388","142164.4327131363","145997.5272868637","commonmain-plain-jar","1815.6008","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5905.2578","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145024.56","144854.5","2779.8205944166352","139985","152433","144254.03304282474","145795.08695717526","commonmain-plain-linux-exe","15867.82","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143226.52","143018","3161.9511235556915","135793","150379","142350.0718641513","144102.96813584867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2308.884","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3536.6058","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144964.48","144205.5","3187.205398886912","140649","156186","144081.0317361698","145847.92826383022","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15605.6394","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142092.34","141997","4075.3607307970246","131362","152615","140962.70763825704","143221.97236174296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2308.884","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3536.6058","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145330.2","145386","2547.3782600940913","140132","150883","144624.1027707518","146036.29722924822","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15605.6394","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141156.2","140146","3579.4031026734856","133119","149709","140164.04007905177","142148.35992094825","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2569.1219","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3801.15","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144809.52","144394","3168.0053354933425","139649","159994","143931.39372221948","145687.6462777805","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18221.5293","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141143.86","139782","4799.037543856783","133294","155974","139813.63465975143","142474.08534024854","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2569.1219","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3801.15","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
