"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","InstrumentPropertyAccessors","CILabel","Methods","JS","Dedicated","JVM","Enabled","FlushEarly","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5067.113","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219374.18","218469","4145.705216540243","215404","237131","218225.0491416049","220523.3108583951","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26462.473","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186555.32","186098","2471.432728650508","182805","194166","185870.27379806334","187240.36620193667","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3525.4369","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5067.113","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225171.78","218277","27894.028937734747","214312","406529","217439.94964953748","232903.61035046252","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26462.473","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187255.76","186407.5","4311.039580861569","182219","206195","186060.80079393642","188450.7192060636","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3190.4497","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4497.4521","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220531.52","218352","6434.370007821358","215791","249635","218748.003627244","222315.03637275597","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27538.4586","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187359.96","186139","5102.563373242825","182548","216931","185945.60159223957","188774.3184077604","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3190.4497","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4497.4521","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228298.9","220632.5","15864.79416211009","215728","296893","223901.40341461054","232696.39658538945","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27538.4586","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200564.72","197283","9842.16486066403","189901","241602","197836.61108630366","203292.82891369634","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4630.6962","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4891.196","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221115.26","219020.5","5445.840655144482","216073","241451","219605.7499842465","222624.77001575351","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20426.5052","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187945.94","186472.5","5012.959500685218","181328","209180","186556.41851855477","189335.46148144524","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4630.6962","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4891.196","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231251.26","221034.5","17678.203424521835","215948","287046","226351.11201189554","236151.40798810447","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20426.5052","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
