"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Methods","FlushEarly","InstrumentPropertyAccessors","Dedicated","JS","JVM","TestKIR","Common","Native","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"158199.58","157586.5","6235.230218782983","149447","181172","156471.26236057538","159927.8976394246","commonmain-plain-jar","1876.7203","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6108.573","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135737.42","134727","3176.357393208099","130065","143907","134856.9786499339","136617.86135006612","commonmain-plain-linux-exe","18855.4932","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157242.22","157600.5","4524.477677780574","146672","164994","155988.09877186397","158496.34122813604","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2344.3518","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3956.7549","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135625.94","135570","1849.1951190080688","130980","140099","135113.36926391203","136138.51073608798","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17246.1676","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157470.08","156985","4171.9390286502885","149519","168216","156313.67749988066","158626.4825001193","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2344.3518","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3956.7549","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136013.4","135868","2112.032264363943","132035","140600","135427.9745242031","136598.82547579688","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17246.1676","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158390.92","158517.5","4600.76791212342","148878","165870","157115.65219778346","159666.18780221656","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2488.7787","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
