"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","FlushEarly","Enabled","Dedicated","Common","CILabel","Reference","Native","JS","Methods","InstrumentPropertyAccessors","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"90042.66666666667","102599","13068.54553243525","76516","102599","57598.61505807267","122486.71827526068","commonmain-plain-jar","2021.8111","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","True","True","True","System.String[]","System.Boolean[]","True","2026-06-27 02:05:50","d6ffc875651ddd06c459b43ef4b6aa24dac6ffc4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.05","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6446.8359","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","True","True","True","System.String[]","System.Boolean[]","True","2026-06-27 02:05:50","d6ffc875651ddd06c459b43ef4b6aa24dac6ffc4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.05","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11484","11635","241.894605148606","11205","11635","10883.470963788317","12084.529036211683","commonmain-plain-linux-exe","17645.7789","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","True","True","True","System.String[]","System.Boolean[]","True","2026-06-27 02:05:50","d6ffc875651ddd06c459b43ef4b6aa24dac6ffc4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.05","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108540.66666666667","115367","6619.711650316298","102149","115367","92106.52976261506","124974.80357071829","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2530.2307","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","True","True","True","System.String[]","System.Boolean[]","True","2026-06-27 02:05:50","d6ffc875651ddd06c459b43ef4b6aa24dac6ffc4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.05","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4484.6338","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","True","True","True","System.String[]","System.Boolean[]","True","2026-06-27 02:05:50","d6ffc875651ddd06c459b43ef4b6aa24dac6ffc4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.05","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"48439","50721","2182.4571015257093","46372","50721","43020.81856123908","53857.18143876092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","21558.2466","3","False","20","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","ci-linux-small","True","True","True","System.String[]","System.Boolean[]","True","2026-06-27 02:05:50","d6ffc875651ddd06c459b43ef4b6aa24dac6ffc4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","85","0.05","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
