"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Native","Enabled","Common","InstrumentPropertyAccessors","Methods","CILabel","JVM","JS","Dedicated","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4838.4084","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220780.66","219166","5702.536358749249","216206","244028","219199.9975653401","222361.3224346599","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28575.0008","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189519.98","188447","5822.676534034842","184085","213980","187906.01640774627","191133.94359225375","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4252.366","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4838.4084","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222574.38","219190","15841.916131901602","216833","327366","218183.22488104837","226965.53511895164","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28575.0008","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188643.66","187886.5","3284.056535905009","184432","203679","187733.36597063535","189553.95402936466","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4429.178","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4598.2291","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221950.2","219929.5","5378.308223497308","215007","240516","220459.40901927065","223440.99098072937","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22233.1705","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202598.58","197085","15906.993098390563","185301","254924","198189.38646624144","207007.77353375853","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4429.178","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4598.2291","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226402.84","225698","4372.562305643533","217218","241110","225190.82756466736","227614.85243533264","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22233.1705","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188232.4","187800","4418.858722358441","182395","209787","187007.5548526675","189457.2451473325","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3874.3522","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5987.9905","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222801.64","220076.5","10157.253444766675","216222","280223","219986.19298670223","225617.0870132978","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25550.1726","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200792.24","194157.5","14542.464740089099","183256","224117","196761.27443030974","204823.20556969024","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3874.3522","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5987.9905","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222744.66","222079","3755.9916357408338","219042","239140","221703.55223496078","223785.76776503923","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25550.1726","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
