"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Enabled","Dedicated","CILabel","JS","Methods","TestKIR","Common","Native","FlushEarly","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"162858.74","144552.5","73718.84235219206","136007","537644","142424.91941524483","183292.56058475515","commonmain-plain-jar","1961.6441","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5760.9341","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183395.12","182745","6098.06173167059","174645","198435","181704.82352539708","185085.4164746029","commonmain-plain-win-exe","100109.5358","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144666.7","138655","10528.51885090574","133264","167340","141748.3434664723","147585.05653352774","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2364.1865","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3683.1501","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182451.86","182379","3305.7264045339043","176126","193223","181535.55938950178","183368.1606104982","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","15689.8714","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140722.26","139022","4549.646690969867","134498","155735","139461.16227734243","141983.3577226576","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2364.1865","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3683.1501","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178474.64","177063","4397.729645057823","174135","197080","177255.65153409258","179693.62846590744","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","15689.8714","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137202.74","136613.5","4130.727765151792","133616","161533","136057.76067932203","138347.71932067795","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3560.9657","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
