"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","JVM","FlushEarly","InstrumentPropertyAccessors","Native","Enabled","CILabel","TestKIR","Methods","Reference","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3166.4606","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191137.72","183957.5","15861.617008491963","176023","227652","186741.1040766629","195534.33592333712","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20079.1963","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"159759.72","158738","3828.648069808581","156446","182826","158698.47289892813","160820.96710107187","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2114.3298","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3166.4606","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188800.22","183652.5","15040.796270836738","173488","243473","184631.12397727882","192969.31602272118","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20079.1963","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"148762.62","154935","11405.83941723873","134494","169989","145601.0826123547","151924.1573876453","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1799.9157","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3005.0832","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204552.28","208223","20822.017760877203","175872","238340","198780.71113697242","210323.84886302758","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","15887.8698","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144850.76","144051","3583.8251059732365","139433","157317","143857.37436227206","145844.14563772795","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1799.9157","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3005.0832","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204750.8","202213.5","15926.858657433912","181305","258522","200336.10001420887","209165.4999857911","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","15887.8698","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"160504.98","159543","6105.073101202017","155906","198108","158812.7400729162","162197.21992708382","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2022.1158","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3303.3135","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180649.26","177969","9411.328249552043","173705","230629","178040.57290210956","183257.94709789046","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","15005.1966","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137709.22","136720","4279.624598690203","133384","154964","136522.96858273068","138895.47141726932","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2022.1158","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3303.3135","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178187.52","176874.5","3837.780062186249","173976","191208","177123.7416397836","179251.29836021637","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","15005.1966","50","False","500","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.String[]","True","True","False","2026-05-29 02:34:20","f610e1f004e1f75d6d7beba8b09c56a7d55955f7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.28","High performance","0.28","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
