"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","CILabel","Common","Enabled","JS","FlushEarly","TestKIR","Dedicated","JVM","Methods","InstrumentPropertyAccessors","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"85228","100542","15245.961662027095","70051","100542","47378.28170060795","123077.71829939206","commonmain-plain-jar","1855.7724","3","False","20","True","ci-linux-small","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","2026-05-24 02:06:08","7a1e0c2269c2f3eae3bb26b5fc9402e34c556346","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.88","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5792.5662","3","False","20","True","ci-linux-small","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","2026-05-24 02:06:08","7a1e0c2269c2f3eae3bb26b5fc9402e34c556346","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.88","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"10462.666666666666","10566","127.62967262095964","10320","10566","10145.812455536197","10779.520877797135","commonmain-plain-linux-exe","14874.0561","3","False","20","True","ci-linux-small","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","2026-05-24 02:06:08","7a1e0c2269c2f3eae3bb26b5fc9402e34c556346","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.88","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"201546.66666666666","220689","23592.54705056945","175189","220689","142975.66408745135","260117.66924588196","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2035.1654","3","False","20","True","ci-linux-small","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","2026-05-24 02:06:08","7a1e0c2269c2f3eae3bb26b5fc9402e34c556346","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.88","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4363.6674","3","False","20","True","ci-linux-small","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","2026-05-24 02:06:08","7a1e0c2269c2f3eae3bb26b5fc9402e34c556346","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.88","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"51006","65816","12874.384024099949","42484","65816","19043.97494755169","82968.02505244831","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19036.6345","3","False","20","True","ci-linux-small","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","2026-05-24 02:06:08","7a1e0c2269c2f3eae3bb26b5fc9402e34c556346","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.88","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
