"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Native","JS","Enabled","Dedicated","JVM","Common","CILabel","InstrumentPropertyAccessors","TestKIR","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3953.6959","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122249.34","120298","8060.672936434231","115958","173255","120015.03545424242","124483.64454575758","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17686.2515","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142756.16","142486.5","4179.437133082368","133924","154019","141597.6791313686","143914.6408686314","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2134.7194","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3953.6959","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121551.8","120945.5","3169.9633681009695","116464","130246","120673.13098327072","122430.46901672929","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17686.2515","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142915.92","142579","6408.283802984371","128541","163581","141139.6343543196","144692.20564568043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1665.2645","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2738.5472","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121595.54","121349.5","3449.343014700223","116314","133872","120639.43089615747","122551.64910384252","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14810.8156","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142186.6","142189","5420.108557539249","131377","155494","140684.22255780513","143688.97744219488","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1665.2645","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2738.5472","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121102.88","120439","3036.1915768654276","117232","129793","120261.29063203066","121944.46936796934","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14810.8156","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141786.48","141844","5273.31347346123","130883","152003","140324.79207916855","143248.16792083147","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1534.6979","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2655.2848","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121019.9","120747","2793.5922689802323","114899","127479","120245.55572939164","121794.24427060835","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13428.0399","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140817.82","140265.5","5124.481435945197","129138","150919","139397.3862152188","142238.2537847812","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1534.6979","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2655.2848","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120611.08","119898","2910.620509199272","115558","129927","119804.29715618995","121417.86284381006","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13428.0399","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
