"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","Common","Native","Reference","TestKIR","CILabel","Dedicated","JVM","FlushEarly","Methods","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3329.608","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137928.66","137380","3870.9306933941903","129788","151272","136855.69275362155","139001.62724637846","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18500.766","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156179.18","155686","5170.775798146142","143553","165377","154745.91407270115","157612.44592729883","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1752.1747","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3329.608","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137393.38","137334","3772.884675022602","128927","146547","136347.58972336943","138439.17027663058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18500.766","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154518.54","154511.5","5023.394141658505","145166","168538","153126.12618364132","155910.9538163587","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2211.5688","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4726.8763","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137628.26","137583","2973.6895986265267","133014","144005","136803.9952965096","138452.52470349043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20953.9911","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155763.98","155399.5","5544.266453715579","146308","170659","154227.18774479808","157300.77225520194","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2211.5688","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4726.8763","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137674.98","137266","3110.0488446193845","133052","151929","136812.91844188212","138537.0415581179","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20953.9911","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156343.04","155996","5910.324553262533","146365","168025","154704.7816163149","157981.29838368512","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2068.5228","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2894.2233","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137474.28","137818.5","3073.6075330039744","132703","148837","136622.31945811707","138326.24054188293","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15226.4615","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156674.1","157085.5","6656.315117914684","146253","185336","154829.06358142395","158519.13641857606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2068.5228","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2894.2233","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140498.24","138035","17480.92101034141","130328","259328","135652.77590718286","145343.70409281712","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15226.4615","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
