"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","InstrumentPropertyAccessors","Native","Enabled","FlushEarly","TestKIR","Reference","JVM","CILabel","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"195886.06","184941","18002.7753874059","180024","252339","190895.9452538077","200876.1747461923","commonmain-plain-jar","2957.1528","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8111.9697","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245273.92","249220.5","19466.556088652487","216407","275870","239878.0659438793","250669.77405612072","commonmain-plain-win-exe","114600.0448","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200298.02","192012.5","14534.748533014228","184617","233488","196269.19325379003","204326.84674620995","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","11524.4122","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","13117.045","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241437.52","239235","16639.654608169716","219160","321035","236825.2430568648","246049.79694313518","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","34610.4371","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197585.26","187060","16732.144534605803","179948","243098","192947.34615722843","202223.1738427716","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","11524.4122","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","13117.045","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239473.48","232475","22512.176470487415","214985","292672","233233.42304451246","245713.53695548757","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","34610.4371","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215716.92","218221.5","10607.771371162615","185245","229645","212776.5957886284","218657.24421137164","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4451.6177","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
