"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","CILabel","Dedicated","Enabled","JS","InstrumentPropertyAccessors","JVM","Reference","Methods","Native","Common","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"99563.33333333333","110468","9774.934543685362","91588","110468","75296.02064587016","123830.6460207965","commonmain-plain-jar","1969.9609","3","False","20","System.Boolean[]","ci-linux-small","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","2026-07-21 01:28:13","b21b571cad916f54521ab584ecf33f0982495bf3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6418.0304","3","False","20","System.Boolean[]","ci-linux-small","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","2026-07-21 01:28:13","b21b571cad916f54521ab584ecf33f0982495bf3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11740.333333333334","11794","48.6860691916418","11699","11794","11619.464998172944","11861.201668493724","commonmain-plain-linux-exe","17815.2837","3","False","20","System.Boolean[]","ci-linux-small","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","2026-07-21 01:28:13","b21b571cad916f54521ab584ecf33f0982495bf3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112566","121603","11140.540336985456","100119","121603","84908.42596135131","140223.5740386487","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2389.0661","3","False","20","System.Boolean[]","ci-linux-small","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","2026-07-21 01:28:13","b21b571cad916f54521ab584ecf33f0982495bf3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4169.7747","3","False","20","System.Boolean[]","ci-linux-small","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","2026-07-21 01:28:13","b21b571cad916f54521ab584ecf33f0982495bf3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"49838.666666666664","56370","5704.761198624648","45831","56370","35675.99138780623","64001.3419455271","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19856.3018","3","False","20","System.Boolean[]","ci-linux-small","False","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","True","System.Boolean[]","2026-07-21 01:28:13","b21b571cad916f54521ab584ecf33f0982495bf3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.85","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
